"","spp1","spp2","spp3","spp4","spp5","spp6","spp7","spp8","spp9","spp10","spp11","spp12","spp13","spp14","spp15","spp16","spp17","spp18","spp19","spp20","spp21","spp22","spp23","spp24","spp25","spp26","spp27","spp28","spp29","spp30","spp31","spp32","spp33","spp34","spp35","spp36","spp37","spp38","spp39","spp40","spp41","spp42","spp43","spp44","spp45","spp46","spp47","spp48","spp49","spp50","spp51","spp52","spp53","spp54","spp55","spp56","spp57","spp58","spp59","spp60","spp61","spp62","spp63","spp64","spp65","spp66","spp67","spp68","spp69","spp70","spp71","spp72","spp73","spp74","spp75","spp76","spp77","spp78","spp79","spp80","spp81","spp82","spp83","spp84","spp85","spp86","spp87","spp88","spp89","spp90","spp91","spp92","spp93","spp94","spp95","spp96","spp97","spp98","spp99","spp100"
"loc1",20,0,0,0,0,6,0,0,1,0,0,0,0,0,5,0,0,3,5,0,0,0,0,0,9,0,14,0,26,3,3,1,5,0,3,12,8,0,0,0,0,0,0,1,0,9,0,0,0,11,7,0,1,0,6,6,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,8,0,0,0,0,0,1,2,0,14,0,0,2,8,6,8,1,0,0,4,0,0,0
"loc2",18,0,0,0,0,10,1,0,0,0,0,0,0,0,3,0,0,3,10,0,0,0,1,0,7,0,11,0,35,4,3,4,4,0,0,17,15,0,2,0,0,0,0,1,0,15,1,0,0,14,12,0,1,0,13,3,6,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,6,0,5,0,0,0,0,0,3,3,0,30,0,0,5,15,10,9,1,0,0,16,0,0,1
"loc3",19,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,5,8,0,0,0,1,0,3,0,8,0,17,4,5,2,7,0,4,11,11,0,0,0,0,0,0,5,0,16,1,0,0,6,9,0,1,0,6,6,5,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,9,0,0,0,0,0,0,1,0,13,0,0,1,11,4,8,1,0,0,7,0,0,0
"loc4",29,0,0,0,0,6,0,0,2,0,0,0,0,0,4,0,0,1,14,0,0,0,3,0,4,0,6,0,31,3,12,0,9,0,2,9,14,0,1,0,0,0,0,7,0,14,0,0,0,15,9,0,0,0,11,7,13,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,9,0,0,0,0,0,1,2,0,26,0,0,6,8,15,9,1,0,0,10,0,0,0
"loc5",32,0,0,0,0,8,0,0,0,0,0,0,0,0,9,0,0,6,11,0,0,0,0,0,8,0,10,0,33,4,9,4,10,0,2,15,12,0,2,0,0,0,0,2,0,15,0,0,0,21,13,0,0,0,6,5,14,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,2,14,0,7,0,0,0,0,0,0,1,0,28,0,0,4,14,6,14,1,0,0,5,0,0,1
"loc6",22,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,1,0,5,0,8,0,16,3,4,4,5,0,0,5,9,0,1,0,0,0,0,1,0,11,0,0,2,9,10,0,0,0,7,6,5,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,1,7,0,2,0,0,0,0,0,2,1,0,13,0,0,4,11,3,8,2,0,0,6,0,0,4
"loc7",21,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,3,13,0,0,0,1,0,6,0,8,0,42,5,7,3,6,0,1,14,16,0,0,0,0,0,0,4,0,12,0,0,0,17,4,0,1,0,10,7,9,0,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,0,2,0,0,0,0,0,0,0,0,17,0,0,5,19,9,15,1,0,0,10,0,0,2
"loc8",23,0,0,0,0,5,0,0,3,0,0,0,0,0,3,0,0,2,14,0,0,0,2,0,8,0,7,0,21,2,6,4,8,0,3,7,11,0,1,0,0,0,0,3,0,8,2,0,0,6,6,0,0,0,9,5,8,0,0,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,4,0,0,27,0,0,6,5,7,9,0,0,0,4,0,0,0
"loc9",16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,10,0,0,0,0,0,4,0,10,0,20,4,6,4,5,0,2,10,15,0,2,0,0,0,0,0,0,8,0,0,0,15,9,2,0,0,7,1,7,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,0,10,0,0,0,0,0,0,1,0,19,0,0,3,5,4,7,2,0,0,11,0,0,1
"loc10",19,0,0,0,0,7,0,0,2,0,0,0,0,0,1,0,0,2,2,0,0,0,2,0,6,0,12,0,14,1,4,6,10,0,0,7,8,0,1,0,0,0,0,5,0,8,0,0,0,13,11,1,0,0,10,2,11,1,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,5,1,0,0,0,0,0,2,0,20,0,0,2,7,6,11,0,0,0,8,0,0,1
"loc11",20,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,1,0,3,0,8,0,18,1,3,2,4,0,0,11,6,0,4,0,0,0,0,4,0,6,0,0,0,10,7,0,0,0,13,5,8,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,2,0,22,0,0,5,8,5,8,1,0,0,12,0,0,0
