"item","grp"
"bread",1
"breakfast.bakery",1
"buns.rolls",1
"canned.fruit.applesauce",1
"canned.meals.beans",1
"canned.meat.seafood",1
"condiments",1
"doughs.gelatins.bake.mixes",1
"dry.pasta",1
"frozen.appetizers.sides",1
"frozen.breakfast",1
"frozen.meat.seafood",1
"frozen.pizza",1
"frozen.vegan.vegetarian",1
"hair.care",1
"hot.cereal.pancake.mixes",1
"hot.dogs.bacon.sausage",1
"instant.foods",1
"latino.foods",1
"lunch.meat",1
"marinades.meat.preparation",1
"meat.counter",1
"other.creams.cheeses",1
"packaged.meat",1
"packaged.poultry",1
"pasta.sauce",1
"pickled.goods.olives",1
"prepared.soups.salads",1
"preserved.dips.spreads",1
"salad.dressing.toppings",1
"specialty.cheeses",1
"tofu.meat.alternatives",1
"tortillas.flat.bread",1
"bakery.desserts",2
"eggs",2
"fresh.herbs",2
"oils.vinegars",2
"packaged.produce",2
"poultry.counter",2
"red.wines",2
"spices.seasonings",2
"body.lotions.soap",3
"breakfast.bars.pastries",3
"candy.chocolate",3
"cat.food.care",3
"cleaning.products",3
"coffee",3
"cookies.cakes",3
"cream",3
"dish.detergents",3
"dog.food.care",3
"energy.granola.bars",3
"energy.sports.drinks",3
"food.storage",3
"honeys.syrups.nectars",3
"laundry",3
"oral.hygiene",3
"paper.goods",3
"plates.bowls.cups.flatware",3
"popcorn.jerky",3
"protein.meal.replacements",3
"soap",3
"soft.drinks",3
"tea",3
"trail.mix.snack.mix",3
"trash.bags.liners",3
"vitamins.supplements",3
